0,1,2,3,4
Jerry Stackhouse,5000000,2000,2001,Detroit Pistons
Charlie Ward,5000000,2000,2001,New York Knicks
Lorenzen Wright,4950000,2000,2001,Atlanta Hawks
Loy Vaught,4812000,2000,2001,Washington Wizards
Mookie Blaylock,4800000,2000,2001,Golden State Warriors
Chris Mills,4800000,2000,2001,Golden State Warriors
Chris Childs,4680000,2000,2001,Toronto Raptors
Bryon Russell,4570000,2000,2001,Utah Jazz
Bo Outlaw,4500000,2000,2001,Orlando Magic
Walt Williams,4500000,2000,2001,Houston Rockets
Tariq Abdul-Wahad,4500000,2000,2001,Denver Nuggets
Bob Sura,4386000,2000,2001,Golden State Warriors
Jason Caffey,4375000,2000,2001,Milwaukee Bucks
Robert Pack,4320000,2000,2001,Denver Nuggets
Brent Barry,4320000,2000,2001,Seattle SuperSonics
Vitaly Potapenko,4286000,2000,2001,Boston Celtics
Brevin Knight,4250000,2000,2001,Cleveland Cavaliers
Howard Eisley,4250000,2000,2001,Dallas Mavericks
Scott Williams,4200000,2000,2001,Milwaukee Bucks
Brad Miller,4000000,2000,2001,Chicago Bulls
Duane Causwell,4000000,2000,2001,Miami Heat
Ben Wallace,4000000,2000,2001,Detroit Pistons
Dan Majerle,4000000,2000,2001,Miami Heat
Corliss Williamson,3997000,2000,2001,Toronto Raptors
Cedric Ceballos,3937000,2000,2001,Miami Heat
Jahidi White,3922000,2000,2001,Washington Wizards
Cuttino Mobley,3922000,2000,2001,Houston Rockets
Scot Pollard,3922000,2000,2001,Sacramento Kings
Rashard Lewis,3920000,2000,2001,Seattle SuperSonics
Eric Williams,3892000,2000,2001,Boston Celtics
Voshon Lenard,3780000,2000,2001,Denver Nuggets
Dana Barros,3700000,2000,2001,Detroit Pistons
Michael Olowokandi,3697000,2000,2001,Los Angeles Clippers
Kurt Thomas,3680000,2000,2001,New York Knicks
Elton Brand,3629000,2000,2001,Chicago Bulls
Adonal Foyle,3578000,2000,2001,Golden State Warriors
Mark Jackson,3565000,2000,2001,Toronto Raptors
Kenyon Martin,3536000,2000,2001,New Jersey Nets
Michael Stewart,3520000,2000,2001,Toronto Raptors
Derek Strong,3510000,2000,2001,Los Angeles Clippers
Greg Anthony,3500000,2000,2001,Portland Trail Blazers
Sam Cassell,3500000,2000,2001,Milwaukee Bucks
Rick Fox,3412000,2000,2001,Los Angeles Lakers
Adam Keefe,3390000,2000,2001,Golden State Warriors
Lamond Murray,3375000,2000,2001,Cleveland Cavaliers
Eric Snow,3375000,2000,2001,Philadelphia 76ers
Ervin Johnson,3310000,2000,2001,Milwaukee Bucks
Mike Bibby,3308000,2000,2001,Vancouver Grizzlies
Jud Buechler,3259000,2000,2001,Detroit Pistons
Travis Best,3250000,2000,2001,Indiana Pacers
Steve Francis,3246000,2000,2001,Houston Rockets
Tony Battie,3200000,2000,2001,Boston Celtics
Travis Knight,3200000,2000,2001,New York Knicks
Stromile Swift,3164000,2000,2001,Vancouver Grizzlies
Doug Christie,3132000,2000,2001,Sacramento Kings
Darrel Armstrong,3100000,2000,2001,Orlando Magic
Tracy Murray,3060000,2000,2001,Toronto Raptors
Derek Fisher,3000000,2000,2001,Los Angeles Lakers
Eric Piatkowski,3000000,2000,2001,Los Angeles Clippers
Chucky Atkins,3000000,2000,2001,Detroit Pistons
Tyrone Nesby,2990000,2000,2001,Washington Wizards
Raef LaFrentz,2970000,2000,2001,Denver Nuggets
Baron Davis,2916000,2000,2001,Charlotte Hornets
Brent Price,2880000,2000,2001,Vancouver Grizzlies
David Wesley,2880000,2000,2001,Charlotte Hornets
Dean Garrett,2880000,2000,2001,Minnesota Timberwolves
Mikki Moore,2848000,2000,2001,Detroit Pistons
Darius Miles,2841000,2000,2001,Los Angeles Clippers
Popeye Jones,2815000,2000,2001,Washington Wizards
Antonio Daniels,2814000,2000,2001,San Antonio Spurs
Walter McCarty,2812000,2000,2001,Boston Celtics
Jerome Williams,2750000,2000,2001,Toronto Raptors
Anthony Peeler,2737000,2000,2001,Minnesota Timberwolves
Jon Barry,2727000,2000,2001,Sacramento Kings
Cedric Henderson,2700000,2000,2001,Cleveland Cavaliers
Kevin Willis,2700000,2000,2001,Toronto Raptors
Lawrence Funderburke,2700000,2000,2001,Sacramento Kings
Antawn Jamison,2678000,2000,2001,Golden State Warriors
Lindsey Hunter,2650000,2000,2001,Milwaukee Bucks
Lamar Odom,2628000,2000,2001,Los Angeles Clippers
Malik Rose,2570000,2000,2001,San Antonio Spurs
Marcus Fizer,2562000,2000,2001,Chicago Bulls
Dragan Tarlac,2500000,2000,2001,Chicago Bulls
Vince Carter,2425000,2000,2001,Toronto Raptors
Jonathan Bender,2380000,2000,2001,Indiana Pacers
Chris Whitney,2370000,2000,2001,Washington Wizards
Mike Miller,2320000,2000,2001,Orlando Magic
Othella Harrington,2250000,2000,2001,Vancouver Grizzlies
Derek Anderson,2250000,2000,2001,San Antonio Spurs
John Starks,2250000,2000,2001,Utah Jazz
Will Perdue,2250000,2000,2001,Portland Trail Blazers
Randy Brown,2250000,2000,2001,Boston Celtics
Brian Shaw,2250000,2000,2001,Los Angeles Lakers
A.C. Green,2250000,2000,2001,Miami Heat
Bimbo Coles,2250000,2000,2001,Cleveland Cavaliers
Joe Smith,2250000,2000,2001,Detroit Pistons
Aaron Williams,2250000,2000,2001,New Jersey Nets
Sam Perkins,2250000,2000,2001,Indiana Pacers
Rod Strickland,2250000,2000,2001,Washington Wizards
Tony Delk,2250000,2000,2001,Phoenix Suns
Chauncey Billups,2250000,2000,2001,Minnesota Timberwolves
Bobby Jackson,2250000,2000,2001,Sacramento Kings
Chris Crawford,2250000,2000,2001,Atlanta Hawks
Eric Montross,2240000,2000,2001,Toronto Raptors
Robert Traylor,2203000,2000,2001,Cleveland Cavaliers
Steve Kerr,2200000,2000,2001,San Antonio Spurs
Detlef Schrempf,2200000,2000,2001,Portland Trail Blazers
Rodney Rogers,2200000,2000,2001,Phoenix Suns
Jamie Feick,2200000,2000,2001,New Jersey Nets
Jamal Crawford,2200000,2000,2001,Chicago Bulls
John Wallace,2200000,2000,2001,Detroit Pistons
Terry Porter,2200000,2000,2001,San Antonio Spurs
Shandon Anderson,2200000,2000,2001,Houston Rockets
Ron Harper,2200000,2000,2001,Los Angeles Lakers
Olden Polynice,2200000,2000,2001,Utah Jazz
Carlos Rogers,2200000,2000,2001,Houston Rockets
Calbert Cheaney,2200000,2000,2001,Denver Nuggets
Michael Curry,2200000,2000,2001,Detroit Pistons
George McCloud,2200000,2000,2001,Denver Nuggets
Otis Thorpe,2200000,2000,2001,Charlotte Hornets
George Lynch,2200000,2000,2001,Philadelphia 76ers
Grant Long,2200000,2000,2001,Vancouver Grizzlies
Wally Szczerbiak,2162000,2000,2001,Minnesota Timberwolves
Sean Rooks,2160000,2000,2001,Los Angeles Clippers
Lucious Harris,2160000,2000,2001,New Jersey Nets
DerMarr Johnson,2107000,2000,2001,Atlanta Hawks
Sam Mitchell,2100000,2000,2001,Minnesota Timberwolves
Alvin Williams,2100000,2000,2001,Toronto Raptors
Vinny Del Negro,2100000,2000,2001,Phoenix Suns
Clarence Weatherspoon,2100000,2000,2001,Cleveland Cavaliers
Cherokee Parks,2100000,2000,2001,Washington Wizards
Jason Williams,2011000,2000,2001,Sacramento Kings
Dell Curry,2000000,2000,2001,Toronto Raptors
Richard Hamilton,1973000,2000,2001,Washington Wizards
Chris Mihm,1923000,2000,2001,Cleveland Cavaliers
Andrew DeClercq,1920000,2000,2001,Orlando Magic
Larry Hughes,1842000,2000,2001,Golden State Warriors
Aaron McKie,1820000,2000,2001,Philadelphia 76ers
Andre Miller,1808000,2000,2001,Cleveland Cavaliers
Greg Foster,1764000,2000,2001,Los Angeles Lakers
Tyrone Bogues,1740000,2000,2001,Toronto Raptors
Darvin Ham,1700000,2000,2001,Milwaukee Bucks
Dirk Nowitzki,1693000,2000,2001,Dallas Mavericks
Shawn Marion,1662000,2000,2001,Phoenix Suns
Joel Przybilla,1619000,2000,2001,Milwaukee Bucks
Paul Pierce,1608000,2000,2001,Boston Celtics
Jason Terry,1579000,2000,2001,Atlanta Hawks
Keyon Dooling,1538000,2000,2001,Los Angeles Clippers
Bonzi Wells,1528000,2000,2001,Portland Trail Blazers
Jacque Vaughn,1500000,2000,2001,Utah Jazz
Trajan Langdon,1500000,2000,2001,Cleveland Cavaliers
Matt Bullard,1481000,2000,2001,Houston Rockets
Jerome Moiso,1461000,2000,2001,Boston Celtics
Aleksandar Radojevic,1425000,2000,2001,Denver Nuggets
Johnny Newman,1400000,2000,2001,New Jersey Nets
Keon Clark,1379000,2000,2001,Toronto Raptors
Tony Massenburg,1360000,2000,2001,Vancouver Grizzlies
Corey Maggette,1353000,2000,2001,Los Angeles Clippers
